Var1,Var2,Var3,g,o
A1,0,320,a,1
A1,1,84,a,1
A1,2,73,a,1
A1,3,71,a,1
A1,4,71,a,1
A1,5,64,a,1
B3,0,273,a,1
B3,1,59,a,1
B3,2,59,a,1
B3,3,67,a,1
B3,4,95,a,1
B3,5,108,a,1
C1,0,264,a,1
C1,1,89,a,1
C1,2,77,a,1
C1,3,72,a,1
C1,4,71,a,1
C1,5,47,a,1
B6,0,324,a,1
B6,1,77,a,1
B6,2,78,a,1
B6,3,82,a,1
B6,4,93,a,1
B6,5,92,a,1
D4,0,258,a,1
D4,1,58,a,1
D4,2,67,a,1
D4,3,72,a,1
D4,4,56,a,1
D4,5,49,a,1
C2,0,315,a,1
C2,1,110,a,1
C2,2,109,a,1
C2,3,52,a,1
C2,4,45,a,1
C2,5,61,a,1
E4,0,266,a,1
E4,1,46,a,1
E4,2,55,a,1
E4,3,69,a,1
E4,4,64,a,1
E4,5,64,a,1
B2,0,190,a,1
B2,1,65,a,1
B2,2,65,a,1
B2,3,53,a,1
B2,4,52,a,1
B2,5,67,a,1
E4,0,394,a,1
E4,1,1,a,1
E4,2,1,a,1
E4,3,1,a,1
E4,4,1,a,1
E4,5,1,a,1
E4,6,1,a,1
E4,7,1,a,1
E4,8,114,a,1
E4,9,68,a,1
E4,10,70,a,1
E4,11,63,a,1
E4,12,56,a,1
E4,13,56,a,1
E4,14,61,a,1
E4,15,74,a,1
E4,16,110,a,1
E4,17,90,a,1
E1,0,223,a,1
E1,1,47,a,1
E1,2,67,a,1
E1,3,91,a,1
E1,4,71,a,1
E1,5,68,a,1
E1,0,257,a,1
E1,1,1,a,1
E1,2,1,a,1
E1,3,1,a,1
E1,4,1,a,1
E1,5,1,a,1
E1,6,1,a,1
E1,7,96,a,1
E1,8,59,a,1
E1,9,150,a,1
E1,10,146,a,1
E3,0,1102,a,1
E3,1,82,a,1
E3,2,83,a,1
E3,3,82,a,1
E3,4,77,a,1
E3,5,82,a,1
E2,0,377,a,1
E2,1,135,a,1
E2,2,130,a,1
E2,3,117,a,1
E2,4,113,a,1
E2,5,115,a,1
C5,0,197,a,1
C5,1,40,a,1
C5,2,40,a,1
C5,3,43,a,1
C5,4,43,a,1
C5,5,43,a,1
B5,0,211,a,1
B5,1,82,a,1
B5,2,69,a,1
B5,3,74,a,1
B5,4,62,a,1
B5,5,61,a,1
B5,0,41,a,1
